name,description,accelerator_text
Extend Your AI Search,Prescriptive guidance on extending your AI Search beyond the foundational level,extend your ai search prescriptive guidance on extending your ai search beyond the foundational level
Extend Your Employee Center to Pro,Prescriptive guidance on extending the Employee Center capabilities to include Pro features,extend your employee center to pro prescriptive guidance on extending the employee center capabilities to include pro features
Health Assessment - Guided,Understanding of the health of your instance and how it maps to ServiceNow leading practices. Delivery of actionable findings to improve overall platform health.,health assessment - guided understanding of the health of your instance and how it maps to servicenow leading practices. delivery of actionable findings to improve overall platform health.
Introduction to CMDB: Ingestion,Demonstration of the possibilities and capabilities of automating and standardizing CMDB data entry,introduction to cmdb: ingestion demonstration of the possibilities and capabilities of automating and standardizing cmdb data entry
Introduction to Instance Observer,Guidance on understanding and monitoring performance using Instance Observer.,introduction to instance observer guidance on understanding and monitoring performance using instance observer.
Introduction to Instance Readiness Asses,Guidance on understanding and interpreting instance readiness using the Instance Readiness Assessment (IRA).,introduction to instance readiness asses guidance on understanding and interpreting instance readiness using the instance readiness assessment (ira).
Jumpstart Your AI Agent Studio,Overview and applied demonstration of AI Agent Studio within the ServiceNow Platform,jumpstart your ai agent studio overview and applied demonstration of ai agent studio within the servicenow platform
Jumpstart Your AI Agents for CSM,Demonstration of the possibilities and capabilities of AI Agents for Customer Service Management (CSM),jumpstart your ai agents for csm demonstration of the possibilities and capabilities of ai agents for customer service management (csm)
Jumpstart Your AI Agents for ITSM,Demonstration of the possibilities and capabilities of AI Agents for IT Service Management (ITSM),jumpstart your ai agents for itsm demonstration of the possibilities and capabilities of ai agents for it service management (itsm)
Jumpstart Your AI Search,Applied demonstration of AI Search's features and performance. Prescriptive guidance on how to empower your users to find the answers they need when and where they need them.,jumpstart your ai search applied demonstration of ai search's features and performance. prescriptive guidance on how to empower your users to find the answers they need when and where they need them.
Jumpstart Your App Engine,Prescriptive guidance on enabling Citizen Development and how to empower users to develop applications on the ServiceNow platform.,jumpstart your app engine prescriptive guidance on enabling citizen development and how to empower users to develop applications on the servicenow platform.
Jumpstart Your Automated Testing,Guidance on understanding how Automated Test Framework (ATF) can be leveraged to accelerate upgrades and increase quality.,jumpstart your automated testing guidance on understanding how automated test framework (atf) can be leveraged to accelerate upgrades and increase quality.
Jumpstart Your CMDB,Demonstration of the possibilities and capabilities of the Configuration Management Database (CMDB).,jumpstart your cmdb demonstration of the possibilities and capabilities of the configuration management database (cmdb).
Jumpstart your CSDM: Crawl,"Overview of the Crawl phase of the CSDM maturity journey, brief assessment of current Crawl data, and actionable steps to complete the phase.","jumpstart your csdm: crawl overview of the crawl phase of the csdm maturity journey, brief assessment of current crawl data, and actionable steps to complete the phase."
Jumpstart Your CSDM: Foundation,High-level overview and breakdown of the Common Service Data Model (CSDM) with a focus on Foundation data,jumpstart your csdm: foundation high-level overview and breakdown of the common service data model (csdm) with a focus on foundation data
Jumpstart Your CSM Configurable Workspac,"Overview and applied demonstration of the features and capabilities of the Customer Service Management (CSM) Configurable Workspace, including guidance on how to get started.","jumpstart your csm configurable workspac overview and applied demonstration of the features and capabilities of the customer service management (csm) configurable workspace, including guidance on how to get started."
Jumpstart Your Database Management,Demonstration of database management tools and capabilities in ServiceNow.,jumpstart your database management demonstration of database management tools and capabilities in servicenow.
Jumpstart Your Employee Center,Introduction to the Employee Center with an applied demonstration of the possibilities and capabilities to enhance your employee experience.,jumpstart your employee center introduction to the employee center with an applied demonstration of the possibilities and capabilities to enhance your employee experience.
Jumpstart Your Employee Journey Manageme,Demonstration of the possibilities and capabilities of Employee Journey Management,jumpstart your employee journey manageme demonstration of the possibilities and capabilities of employee journey management
Jumpstart Your Event Management,Demonstration of the possibilities and capabilities of Event Management,jumpstart your event management demonstration of the possibilities and capabilities of event management
Jumpstart Your External Content Connecto,Demonstration of the possibilities and capabilities of External Content Connectors (XCC).,jumpstart your external content connecto demonstration of the possibilities and capabilities of external content connectors (xcc).
Jumpstart Your GenAI,Demonstration of the possibilities and capabilities of ServiceNow GenAI.,jumpstart your genai demonstration of the possibilities and capabilities of servicenow genai.
Jumpstart Your Issue Auto Resolution,Demonstration of the possibilities and capabilities of Issue Auto Resolution (IAR),jumpstart your issue auto resolution demonstration of the possibilities and capabilities of issue auto resolution (iar)
Jumpstart Your Knowledge Management,Demonstration of the possibilities and capabilities of Knowledge Management,jumpstart your knowledge management demonstration of the possibilities and capabilities of knowledge management
Jumpstart Your Legacy Workflow Migration,Prescriptive guidance for migrating from Legacy Workflows to modern low-code automation tools,jumpstart your legacy workflow migration prescriptive guidance for migrating from legacy workflows to modern low-code automation tools
Jumpstart Your Migration of Platform Ana,Demonstration of how to successfully prepare and migrate your Platform Analytics content,jumpstart your migration of platform ana demonstration of how to successfully prepare and migrate your platform analytics content
Jumpstart Your Multi-Lingual Virtual Age,Applied demonstration of the possibilities and capabilities of Dynamic Translation.,jumpstart your multi-lingual virtual age applied demonstration of the possibilities and capabilities of dynamic translation.
Jumpstart Your Natural Language Understa,Demonstration of the possibilities and capabilities of Natural Language Understanding (NLU).,jumpstart your natural language understa demonstration of the possibilities and capabilities of natural language understanding (nlu).
Jumpstart Your Now Assist for Creator,Demonstration of the possibilities and capabilities of Now Assist for Creator.,jumpstart your now assist for creator demonstration of the possibilities and capabilities of now assist for creator.
Jumpstart Your Now Assist in Document In,Demonstration of the possibilities and capabilities of Now Assist in Document Intelligence (DocIntel).,jumpstart your now assist in document in demonstration of the possibilities and capabilities of now assist in document intelligence (docintel).
Jumpstart Your Now Assist in Virtual Age,Demonstration of the possibilities and capabilities of Now Assist in Virtual Agent,jumpstart your now assist in virtual age demonstration of the possibilities and capabilities of now assist in virtual agent
Jumpstart Your Now Assist Skill Kit,Demonstration of the possibilities and capabilities of Now Assist Skill Kit,jumpstart your now assist skill kit demonstration of the possibilities and capabilities of now assist skill kit
Jumpstart Your Platform Analytics,Demonstration of the possibilities and capabilities of Platform Analytics,jumpstart your platform analytics demonstration of the possibilities and capabilities of platform analytics
Jumpstart Your Predictive Intelligence,Demonstration of the possibilities and capabilities of Predictive Intelligence (PI) and the Clustering framework.,jumpstart your predictive intelligence demonstration of the possibilities and capabilities of predictive intelligence (pi) and the clustering framework.
Jumpstart Your Process Mining,Demonstration of the possibilities and capabilities of Process Mining,jumpstart your process mining demonstration of the possibilities and capabilities of process mining
Jumpstart Your Service Mapping,Demonstration of the possibilities and capabilities of Service Mapping.,jumpstart your service mapping demonstration of the possibilities and capabilities of service mapping.
Jumpstart Your Service Operations Worksp,Applied demonstration of the possibilities and capabilities of Service Operations Workspace.,jumpstart your service operations worksp applied demonstration of the possibilities and capabilities of service operations workspace.
Jumpstart Your ServiceNow AI Journey,Guidance to kickstart your hyperautomation journey with ServiceNow AI capabilities.,jumpstart your servicenow ai journey guidance to kickstart your hyperautomation journey with servicenow ai capabilities.
Jumpstart Your SPM - Planning Workspace,Demonstration of the possibilities and capabilities of Planning Workspaces within Strategic Portfolio Management (SPM).,jumpstart your spm - planning workspace demonstration of the possibilities and capabilities of planning workspaces within strategic portfolio management (spm).
Jumpstart Your SPM - Project Workspace,Demonstration of the possibilities and capabilities of Project Workspaces within Strategic Portfolio Management (SPM).,jumpstart your spm - project workspace demonstration of the possibilities and capabilities of project workspaces within strategic portfolio management (spm).
Jumpstart Your SPM - Resource Management,Demonstration of the possibilities and capabilities of Resource Management Workspaces within Strategic Portfolio Management (SPM),jumpstart your spm - resource management demonstration of the possibilities and capabilities of resource management workspaces within strategic portfolio management (spm)
Jumpstart Your Subscription Management,Demonstration on how to efficiently manage your ServiceNow subscriptions in the Subscription Management Application,jumpstart your subscription management demonstration on how to efficiently manage your servicenow subscriptions in the subscription management application
Jumpstart Your Success Dashboard,Applied demonstration of how the Success Dashboard provides insight into the performance and quality metrics of your ITSM and HR implementation.,jumpstart your success dashboard applied demonstration of how the success dashboard provides insight into the performance and quality metrics of your itsm and hr implementation.
Jumpstart Your Task Intelligence,Demonstration of the possibilities and capabilities of Task Intelligence.,jumpstart your task intelligence demonstration of the possibilities and capabilities of task intelligence.
Jumpstart Your Upgrade,Prescriptive guidance on upgrade planning and preparation to reduce the time and effort in upgrading your instance while minimizing risk.,jumpstart your upgrade prescriptive guidance on upgrade planning and preparation to reduce the time and effort in upgrading your instance while minimizing risk.
Jumpstart Your Virtual Agent,Applied demonstration of ITSM Virtual Agent capabilities with expert guidance on how to get started.,jumpstart your virtual agent applied demonstration of itsm virtual agent capabilities with expert guidance on how to get started.
Jumpstart Your Workflow Automation: Play,Demonstration of the possibilities and capabilities of Playbooks in Workflow Studio.,jumpstart your workflow automation: play demonstration of the possibilities and capabilities of playbooks in workflow studio.
TuneUp Your AI Search,Prescriptive guidance on fine-tuning your AI Search to optimize performance and value.,tuneup your ai search prescriptive guidance on fine-tuning your ai search to optimize performance and value.
TuneUp Your CMDB,Detailed assessment of your Configuration Management Database (CMDB) via HealthScan with leading practice recommendations and prescriptive guidance.,tuneup your cmdb detailed assessment of your configuration management database (cmdb) via healthscan with leading practice recommendations and prescriptive guidance.
TuneUp Your Employee Center,Guidance on maintaining and governing the health of your Employee Center to optimize value.,tuneup your employee center guidance on maintaining and governing the health of your employee center to optimize value.
TuneUp Your Hardware Asset Management,Guidance on maintaining and governing Hardware Asset Management (HAM) health to optimize value,tuneup your hardware asset management guidance on maintaining and governing hardware asset management (ham) health to optimize value
TuneUp Your IT Asset Management,Assessment of your IT Asset Management implementation via HealthScan with leading practice recommendations and prescriptive guidance.,tuneup your it asset management assessment of your it asset management implementation via healthscan with leading practice recommendations and prescriptive guidance.
TuneUp Your ITOM Discovery,Assessment of your Discovery implementation via HealthScan with leading practice recommendations and prescriptive guidance.,tuneup your itom discovery assessment of your discovery implementation via healthscan with leading practice recommendations and prescriptive guidance.
TuneUp Your Platform Analytics,Guidance on maintaining and governing Platform Analytics health to optimize value.,tuneup your platform analytics guidance on maintaining and governing platform analytics health to optimize value.
TuneUp Your Security,Awareness of areas of improvement and insights into your instance security readiness. Prescriptive guidance for optimizing security configurations.,tuneup your security awareness of areas of improvement and insights into your instance security readiness. prescriptive guidance for optimizing security configurations.
TuneUp Your Software Asset Management,Guidance on maintaining and governing Software Asset Management (SAM) health to optimize value,tuneup your software asset management guidance on maintaining and governing software asset management (sam) health to optimize value
TuneUp Your Virtual Agent - Assessment,Prescriptive guidance on fine-tuning Virtual Agent setup to optimize value.,tuneup your virtual agent - assessment prescriptive guidance on fine-tuning virtual agent setup to optimize value.
TuneUp Your Virtual Agent - NLU (Natural,Prescriptive guidance on fine-tuning your Natural Language Understanding (NLU) models to optimize value.,tuneup your virtual agent - nlu (natural prescriptive guidance on fine-tuning your natural language understanding (nlu) models to optimize value.
TuneUp Your Virtual Agent - Performance ,Prescriptive guidance on fine-tuning Virtual Agent performance to optimize value.,tuneup your virtual agent - performance  prescriptive guidance on fine-tuning virtual agent performance to optimize value.
TuneUp Your Virtual Agent - UX (User Exp,Prescriptive guidance on fine-tuning Virtual Agent conversations to optimize value,tuneup your virtual agent - ux (user exp prescriptive guidance on fine-tuning virtual agent conversations to optimize value
UX: Catalog Request Experience Review,Improvement of your service catalog forms through focused user feedback sessions. Gaining actionable insights and expert recommendations in a comprehensive report.,ux: catalog request experience review improvement of your service catalog forms through focused user feedback sessions. gaining actionable insights and expert recommendations in a comprehensive report.
UX: Design for Employee Center,"Delivery of tailored UX design support with resources, UI inspiration, and guidance from ServiceNow UX experts to help your design and implementation teams kickstart your Employee Center UX design.","ux: design for employee center delivery of tailored ux design support with resources, ui inspiration, and guidance from servicenow ux experts to help your design and implementation teams kickstart your employee center ux design."
UX: Portal Experience Review,"Identification of UX issues in your Employee Center, providing actionable recommendations to improve design, enhance user satisfaction, and boost overall portal efficiency and adoption.","ux: portal experience review identification of ux issues in your employee center, providing actionable recommendations to improve design, enhance user satisfaction, and boost overall portal efficiency and adoption."
UX: Taxonomy Review and Design,Optimization of your portal's navigation and content structure to enhance usability and help users efficiently locate relevant information.,ux: taxonomy review and design optimization of your portal's navigation and content structure to enhance usability and help users efficiently locate relevant information.
UX: Why It Matters and How to Apply It,"Resource highlighting how prioritizing users' needs and preferences boosts adoption, minimizes errors, and enhances self-service success, maximizing the ROI of your ServiceNow investment.","ux: why it matters and how to apply it resource highlighting how prioritizing users' needs and preferences boosts adoption, minimizes errors, and enhances self-service success, maximizing the roi of your servicenow investment."
